ID,past_0_29,past_30_59,past_60_89,past_90_119,past_120_149,past_150_plus,paid_off_month,no_loan_month,total_months,never_had_loan
5022682,22,,,,,,,,22,0
5022683,10,,,,,,,1,11,0
5022684,9,,,,,,6,1,16,0
5022685,9,,,,,,13,1,23,0
5022686,13,1,,,,,,,14,0
5022687,6,,,,,,,,6,0
5022689,14,,,,,,,1,15,0
5022690,4,,,,,,6,,10,0
5022691,8,1,,,,,,,9,0
5022692,,,,,,,,9,9,1
5022694,12,,,,,,,1,13,0
5022696,9,,,,,,,,9,0
5022697,8,1,1,,,,2,,12,0
5022698,17,,,,,,3,31,51,0
5022700,10,,,,,,28,,38,0
5022701,,,,,,,,51,51,1
5022702,,,,,,,,12,12,1
5022703,7,,,,,,,,7,0
5022704,8,,,,,,25,,33,0
5022705,10,1,,,,,15,,26,0
5022707,8,3,,,,,1,,12,0
5022712,,,,,,,36,4,40,0
5022713,6,,,,,,,,6,0
5022715,,,,,,,54,4,58,0
5022716,,,,,,,38,4,42,0
5022717,,,,,,,25,4,29,0
5022718,,,,,,,39,4,43,0
5022719,4,,,,,,53,,57,0
5022720,28,,,,,,,,28,0
5022721,16,,,,,,10,,26,0
5022722,33,,,,,,,,33,0
5022730,6,,,,,,55,,61,0
5022731,5,,,,,,23,1,29,0
5022732,4,,,,,,7,,11,0
5022733,1,,,,,,,1,2,0
5022734,4,,,,,,7,,11,0
5022737,4,,,,,,7,,11,0
5022738,10,,,,,,34,1,45,0
5022739,4,,,,,,6,,10,0
5022740,4,,,,,,7,,11,0
5022741,7,,,,,,,,7,0
5022742,4,,,,,,,1,5,0
5022743,14,,,,,,,6,20,0
5022744,9,,,,,,18,1,28,0
5022745,9,,,,,,19,1,29,0
5022746,9,,,,,,19,1,29,0
5022749,9,,,,,,19,1,29,0
5022750,3,,,,,,,1,4,0
5022751,9,,,,,,9,1,19,0
5022752,9,,,,,,19,1,29,0
5022753,9,,,,,,19,1,29,0
5022754,9,,,,,,19,1,29,0
5022755,9,,,,,,18,1,28,0
5022756,4,,,,,,,1,5,0
5022757,5,,,,,,,,5,0
5022758,10,,,,,,10,,20,0
5022759,11,,,,,,7,1,19,0
5022760,10,,,,,,10,,20,0
5022761,4,,,,,,,1,5,0
5022762,16,,,,,,,5,21,0
5022765,,,,,,,,27,27,1
5022767,,,,,,,,20,20,1
5022768,,,,,,,,10,10,1
5022769,11,,,,,,24,1,36,0
5022770,,,,,,,,47,47,1
5022771,,,,,,,,25,25,1
5022772,24,,,,,,,1,25,0
5022773,,,,,,,,10,10,1
5022774,6,1,,,,,19,,26,0
5022775,16,,,,,,,1,17,0
5022776,6,1,,,,,11,,18,0
5022778,6,1,,,,,32,,39,0
5022783,12,,,,,,23,13,48,0
5022784,,,,,,,,32,32,1
5022787,12,,,,,,18,13,43,0
5022788,28,,,,,,,,28,0
5022789,10,,,,,,,2,12,0
5022790,11,,,,,,2,1,14,0
5022791,4,,,,,,28,,32,0
5022792,6,,,,,,42,,48,0
5022794,9,,,,,,25,,34,0
5022795,12,,,,,,38,,50,0
5022796,18,,,,,,,,18,0
5022797,12,,,,,,37,,49,0
5022798,11,,,,,,38,1,50,0
5022799,9,,,,,,24,,33,0
5022800,18,,,,,,,1,19,0
5022802,9,,,,,,17,,26,0
5022803,9,,,,,,22,,31,0
5022804,20,,,,,,6,,26,0
5022807,4,,,,,,34,,38,0
5022808,4,,,,,,43,,47,0
5022809,1,,,,,,,,1,0
5022810,1,,,,,,,,1,0
5022811,2,,,,,,12,,14,0
5022812,10,1,,,,,,10,21,0
5022813,10,1,,,,,,10,21,0
5022814,4,1,,,,,,4,9,0
5022815,4,1,,,,,,4,9,0
5022816,9,,,,,,,1,10,0
5022817,,,,,,,,17,17,1
5022818,,,,,,,,17,17,1
5022824,8,,,,,,,1,9,0
5022825,8,,,,,,,1,9,0
5022826,8,,,,,,,1,9,0
5022827,25,,,,,,,,25,0
5022828,2,,,,,,25,,27,0
5022831,14,,,,,,,,14,0
5022832,8,,,,,,,1,9,0
5022833,2,,,,,,6,,8,0
5022834,20,1,,,,,,,21,0
5022835,23,1,,,,,,1,25,0
5022836,33,,,,,,,,33,0
5022837,1,,,,,,36,,37,0
5022840,7,,,,,,15,,22,0
5022841,6,,,,,,25,,31,0
5022842,14,,,,,,,1,15,0
5022843,7,,,,,,4,,11,0
5022844,7,,,,,,15,,22,0
5022845,7,,,,,,15,,22,0
5022846,8,,,,,,,2,10,0
5022847,7,,,,,,15,,22,0
5022848,7,,,,,,15,,22,0
5022849,5,,,,,,6,,11,0
5022851,4,,,,,,10,1,15,0
5022852,4,,,,,,40,1,45,0
5022853,8,,,,,,,,8,0
5022855,4,,,,,,45,1,50,0
5022858,,,,,,,,14,14,1
5022859,1,,,,,,29,10,40,0
5022860,9,1,,,,,14,17,41,0
5022862,13,,,,,,,,13,0
5022863,5,,,,,,,1,6,0
5022864,7,,,,,,,1,8,0
5022865,1,,,,,,9,1,11,0
5022866,10,,,,,,6,1,17,0
5022867,,,,,,,,17,17,1
5022868,10,,,,,,27,1,38,0
5022869,10,,,,,,27,1,38,0
5022870,6,,,,,,,1,7,0
5022871,10,,,,,,36,1,47,0
5022872,10,,,,,,10,1,21,0
5022873,10,,,,,,39,1,50,0
5022875,6,,,,,,,1,7,0
5022876,12,,,,,,21,,33,0
5022877,9,,,,,,,1,10,0
5022878,10,,,,,,21,1,32,0
5022879,2,,,,,,23,,25,0
5022880,2,,,,,,16,,18,0
5022881,11,,,,,,18,,29,0
5022882,1,,,,,,,,1,0
5022886,7,,,,,,20,,27,0
5022887,1,,,,,,29,,30,0
5022888,23,,,,,,2,1,26,0
5022889,15,,,,,,,1,16,0
5022890,1,,,,,,,17,18,0
5022891,1,,,,,,29,,30,0
5022892,5,,,,,,,1,6,0
5022893,4,,,,,,22,,26,0
5022894,10,1,,,,,,14,25,0
5022895,4,,,,,,,,4,0
5022896,10,,,,,,,6,16,0
5022897,12,,,,,,22,,34,0
5022898,5,,,,,,30,4,39,0
5022900,17,,,,,,13,,30,0
5022901,4,,,,,,30,2,36,0
5022902,17,,,,,,13,,30,0
5022903,4,,,,,,30,2,36,0
5022904,3,,,,,,,,3,0
5022905,4,,,,,,23,2,29,0
5022906,5,,,,,,19,5,29,0
5022907,5,,,,,,20,5,30,0
5022908,5,,,,,,20,5,30,0
5022909,5,,,,,,10,5,20,0
5022910,5,,,,,,19,5,29,0
5022912,7,,,,,,1,,8,0
5022913,12,,,,,,32,,44,0
5022914,,,,,,,,8,8,1
5022915,6,,,,,,3,,9,0
5022917,11,,,,,,18,1,30,0
5022918,10,2,,,,,41,,53,0
5022921,11,,,,,,1,1,13,0
5022922,7,,,,,,7,,14,0
5022923,7,,,,,,7,,14,0
5022925,4,,,,,,,1,5,0
5022926,6,1,,,,,2,,9,0
5022927,4,1,,,,,,,5,0
5022928,4,,,,,,,1,5,0
5022929,9,1,,,,,,1,11,0
5022930,3,,,,,,,1,4,0
5022931,3,,,,,,,2,5,0
5022932,30,,,,,,,11,41,0
5022933,31,,,,,,,11,42,0
5022934,8,,,,,,,,8,0
5022935,11,,,,,,18,,29,0
5022936,4,,,,,,,3,7,0
5022938,,,,,,,,20,20,1
5022939,22,,,,,,4,1,27,0
5022940,22,,,,,,33,1,56,0
5022942,5,,,,,,,1,6,0
5022943,10,,,,,,,,10,0
5022944,4,,,,,,,3,7,0
5022945,6,,,,,,12,,18,0
5022946,,,,,,,,7,7,1
5022947,6,,,,,,20,,26,0
5022950,5,,,,,,12,1,18,0
5022951,6,,,,,,7,,13,0
5022952,5,,,,,,23,5,33,0
5022953,1,,,,,,,1,2,0
5022954,5,,,,,,30,5,40,0
5022955,5,,,,,,2,5,12,0
5022958,9,,,,,,22,1,32,0
5022961,5,,,,,,49,5,59,0
5022963,3,,,,,,,2,5,0
5022964,6,,,,,,,1,7,0
5022965,7,,,,,,,1,8,0
5022966,1,,,,,,,2,3,0
5022967,2,,,,,,,1,3,0
5022968,1,,,,,,,2,3,0
5022969,1,,,,,,,2,3,0
5022970,1,,,,,,,2,3,0
5022971,2,,,,,,,,2,0
5022972,22,,,,,,6,14,42,0
5022975,,,,,,,,3,3,1
5022978,6,,,,,,29,,35,0
5022979,24,,,,,,29,,53,0
5022980,6,,,,,,29,,35,0
5022981,24,,,,,,35,,59,0
5022982,6,,,,,,29,,35,0
5022984,6,,,,,,29,,35,0
5022985,6,,,,,,29,,35,0
5022986,6,,,,,,28,,34,0
5022987,,,,,,,,11,11,1
5022988,7,,,,,,,1,8,0
5022989,,,,,,,,21,21,1
5022990,,,,,,,,27,27,1
5022991,10,,,,,,,20,30,0
5022992,,,,,,,,27,27,1
5022993,,,,,,,,17,17,1
5022994,,,,,,,,8,8,1
5022995,4,,,,,,11,3,18,0
5022996,6,,,,,,44,,50,0
5022997,10,1,,,,,49,1,61,0
5023000,4,,,,,,,,4,0
5023001,2,,,,,,,,2,0
5023002,4,,,,,,,,4,0
5023004,6,,,,,,55,,61,0
5023006,5,,,,,,,,5,0
5023007,35,1,,,,,15,,51,0
5023008,7,,,,,,5,1,13,0
5023009,9,,,,,,21,,30,0
5023010,4,,,,,,,,4,0
5023011,6,,,,,,31,,37,0
5023012,12,,,,,,45,,57,0
5023015,5,,,,,,52,,57,0
5023019,5,,,,,,52,,57,0
5023020,4,,,,,,56,,60,0
5023021,5,,,,,,51,,56,0
5023022,21,,,,,,,12,33,0
5023023,15,,,,,,,2,17,0
5023024,3,,,,,,14,11,28,0
5023025,6,,,,,,19,,25,0
5023027,6,,,,,,44,,50,0
5023029,1,,,,,,,,1,0
5023031,,,,,,,,38,38,1
5023032,17,,,,,,36,,53,0
5023033,10,,,,,,25,,35,0
5023034,3,,,,,,9,1,13,0
5023035,10,,,,,,14,2,26,0
5023036,6,,,,,,8,,14,0
5023037,3,,,,,,,,3,0
5023038,3,,,,,,,,3,0
5023039,10,,,,,,,4,14,0
5023040,10,,,,,,,6,16,0
5023041,13,,,,,,,1,14,0
5023042,8,,,,,,,,8,0
5023043,2,,,,,,,1,3,0
5023044,5,,,,,,1,,6,0
5023045,3,,,,,,,3,6,0
5023046,3,,,,,,,3,6,0
5023048,7,,,,,,3,1,11,0
5023049,3,,,,,,,,3,0
5023050,1,,,,,,,1,2,0
5023051,23,,,,,,,,23,0
5023052,23,,,,,,,,23,0
5023053,10,,,,,,20,,30,0
5023054,11,,,,,,,28,39,0
5023055,13,,,,,,,2,15,0
5023056,,,,,,,,6,6,1
5023057,5,1,,,,,10,,16,0
5023058,5,1,,,,,10,,16,0
5023059,5,1,,,,,10,,16,0
5023060,8,,,,,,5,7,20,0
5023061,13,,,,,,16,,29,0
5023063,6,,,,,,,9,15,0
5023064,6,,,,,,,9,15,0
5023065,2,,,,,,28,,30,0
5023066,4,,,,,,8,,12,0
5023067,22,,,,,,,4,26,0
5023068,,,,,,,,29,29,1
5023069,2,,,,,,36,,38,0
5023070,22,,,,,,,16,38,0
5023071,1,,,,,,10,1,12,0
5023072,5,,,,,,,,5,0
5023073,6,,,,,,,,6,0
5023074,3,,,,,,2,,5,0
5023075,3,,,,,,2,,5,0
5023076,6,,,,,,14,,20,0
5023077,6,,,,,,11,,17,0
5023078,3,,,,,,2,,5,0
5023079,4,,,,,,6,,10,0
5023080,4,,,,,,10,,14,0
5023081,6,,,,,,13,,19,0
5023082,3,,,,,,,13,16,0
5023083,6,1,,,,,4,,11,0
5023084,6,1,,,,,4,,11,0
5023085,6,1,,,,,4,,11,0
5023086,6,1,,,,,4,,11,0
5023087,6,1,,,,,4,,11,0
5023088,6,,,,,,,,6,0
5023089,11,,,,,,,27,38,0
5023092,16,,,,,,9,1,26,0
5023095,9,,,,,,42,,51,0
5023096,11,,,,,,,7,18,0
5023097,10,,,,,,,,10,0
5023099,4,,,,,,18,,22,0
5023100,1,1,,,,,2,,4,0
5023101,6,,,,,,27,2,35,0
5023102,1,,,,,,,4,5,0
5023103,15,,,,,,,,15,0
5023105,12,,,,,,2,,14,0
5023106,8,,,,,,,6,14,0
5023107,12,,,,,,1,,13,0
5023108,8,,,,,,,6,14,0
5023109,12,,,,,,13,,25,0
5023110,12,,,,,,22,1,35,0
5023111,14,,,,,,,14,28,0
5023112,12,,,,,,22,1,35,0
5023113,,,,,,,6,,6,0
5023114,14,,,,,,,14,28,0
5023115,33,,,,,,,1,34,0
5023116,,,,,,,,32,32,1
5023117,6,,,,,,23,4,33,0
5023118,6,,,,,,6,4,16,0
5023120,,,,,,,,11,11,1
5023121,,,,,,,,11,11,1
5023122,,,,,,,,11,11,1
5023124,,,,,,,,11,11,1
5023125,,,,,,,,11,11,1
5023126,,,,,,,,11,11,1
5023127,,,,,,,,11,11,1
5023129,,,,,,,,8,8,1
5023130,,,,,,,,11,11,1
5023131,,,,,,,,11,11,1
5023133,,,,,,,26,2,28,0
5023134,23,,,,,,,,23,0
5023136,4,,,,,,,3,7,0
5023137,10,,,,,,,7,17,0
5023138,3,,,,,,,1,4,0
5023139,10,,,,,,,7,17,0
5023140,1,,,,,,,3,4,0
5023141,10,,,,,,,6,16,0
5023142,5,,,,,,,6,11,0
5023143,10,,,,,,,7,17,0
5023144,2,,,,,,4,1,7,0
5023145,10,,,,,,,7,17,0
5023146,13,,,,,,,2,15,0
5023147,4,,,,,,,3,7,0
5023150,22,1,,,,,27,,50,0
5023151,5,1,,,,,10,1,17,0
5023152,21,,,,,,,1,22,0
5023153,10,,,,,,16,1,27,0
5023159,10,,,,,,40,1,51,0
5023160,10,,,,,,35,1,46,0
5023161,7,,,,,,,1,8,0
5023163,,,,,,,34,21,55,0
5023164,,,,,,,18,21,39,0
5023168,3,3,,,,,20,,26,0
5023169,4,,,,,,,1,5,0
5023170,12,,,,,,10,,22,0
5023171,1,,,,,,,13,14,0
5023172,11,,,,,,47,,58,0
5023173,4,,,,,,,1,5,0
5023176,11,,,,,,42,,53,0
5023177,8,,,,,,,,8,0
5023180,5,,,,,,18,,23,0
5023181,9,,,,,,5,1,15,0
5023182,10,,,,,,29,,39,0
5023183,12,,,,,,,12,24,0
5023184,12,,,,,,25,,37,0
5023185,10,,,,,,,,10,0
5023186,12,,,,,,13,,25,0
5023187,12,,,,,,17,,29,0
5023188,12,,,,,,12,,24,0
5023190,8,,,,,,,1,9,0
5023191,2,,,,,,,,2,0
5023193,2,,,,,,,1,3,0
5023194,2,,,,,,,,2,0
5023195,1,,,,,,,,1,0
5023196,,,,,,,,2,2,1
5023197,1,,,,,,,1,2,0
5023198,2,,,,,,,,2,0
5023199,,1,,,,,,1,2,0
5023200,5,,,,,,,4,9,0
5023201,10,,,,,,8,,18,0
5023202,5,,,,,,,4,9,0
5023203,,,,,,,,3,3,1
5023204,4,,,,,,,4,8,0
5023205,7,,,,,,,,7,0
5023206,25,,,,,,6,,31,0
5023207,1,,,,,,,1,2,0
5023208,,,,,,,,2,2,1
5023209,1,,,,,,,29,30,0
5023210,8,,,,,,6,,14,0
5023211,8,,,,,,23,,31,0
5023212,8,,,,,,6,,14,0
5023213,11,,,,,,4,2,17,0
5023214,11,,,,,,4,2,17,0
5023215,11,,,,,,4,2,17,0
5023216,7,,,,,,18,,25,0
5023217,11,,,,,,3,2,16,0
5023224,12,,,,,,46,,58,0
5023229,9,,,,,,32,,41,0
5023230,10,,,,,,31,,41,0
5023231,5,,,,,,,,5,0
5023232,15,,,,,,18,1,34,0
5023233,3,,,,,,,,3,0
5023234,11,,,,,,3,5,19,0
5023235,5,,,,,,,,5,0
5023236,5,,,,,,9,,14,0
5023237,7,,,,,,,,7,0
5023238,5,,,,,,,,5,0
5023239,3,,,,,,26,1,30,0
5023240,2,,,,,,24,,26,0
5023241,3,,,,,,26,1,30,0
5023242,4,,,,,,,,4,0
5023244,4,,,,,,,,4,0
5023245,3,,,,,,3,1,7,0
5023246,3,,,,,,26,1,30,0
5023247,4,,,,,,,,4,0
5023248,3,,,,,,16,1,20,0
5023249,4,,,,,,,,4,0
5023250,12,,,,,,31,2,45,0
5023251,12,,,,,,31,2,45,0
5023252,5,,,,,,,2,7,0
5023253,4,,,,,,1,1,6,0
5023254,16,,,,,,11,1,28,0
5023255,4,,,,,,6,1,11,0
5023256,6,,,,,,,1,7,0
5023257,6,,,,,,32,,38,0
5023258,6,,,,,,,1,7,0
5023259,5,,,,,,19,1,25,0
5023260,6,1,,,,,10,1,18,0
5023261,5,,,,,,19,1,25,0
5023262,5,,,,,,13,1,19,0
5023263,6,,,,,,12,,18,0
5023264,5,,,,,,,1,6,0
5023265,6,,,,,,22,,28,0
5023266,4,,,,,,,3,7,0
5023267,,,,,,,,6,6,1
5023268,,,,,,,,6,6,1
5023270,9,,,,,,,,9,0
5023271,,,,,,,,9,9,1
5023272,,,,,,,,50,50,1
5023273,,,,,,,,50,50,1
5023274,,,,,,,,12,12,1
5023277,1,,,,,,,1,2,0
5023279,5,,,,,,19,1,25,0
5023280,5,,,,,,23,1,29,0
5023282,5,,,,,,34,1,40,0
5023283,12,,,,,,17,,29,0
5023284,24,,,,,,,1,25,0
5023285,5,,,,,,5,1,11,0
5023286,3,2,,,,,,3,8,0
5023287,2,2,,,,,,2,6,0
5023288,3,2,,,,,,3,8,0
5023289,3,2,,,,,,3,8,0
5023290,3,2,,,,,,2,7,0
5023292,9,,,,,,,13,22,0
5023295,6,8,,,,,,11,25,0
5023298,10,,,,,,20,1,31,0
5023299,11,1,,,,,7,,19,0
5023300,8,,,,,,,1,9,0
5023301,10,,,,,,7,1,18,0
5023302,8,,,,,,,1,9,0
5023303,15,,,,,,,1,16,0
5023304,9,,,,,,16,,25,0
5023305,7,,,,,,8,2,17,0
5023306,3,,,,,,13,,16,0
5023307,5,,,,,,10,,15,0
5023308,3,,,,,,39,,42,0
5023309,3,,,,,,39,,42,0
5023310,2,,,,,,25,,27,0
5023311,3,,,,,,34,,37,0
5023312,15,,,,,,,1,16,0
5023313,15,,,,,,,1,16,0
5023314,9,,,,,,8,,17,0
5023315,15,,,,,,,1,16,0
5023316,9,,,,,,6,,15,0
5023318,,,,,,,,5,5,1
5023320,,,,,,,,18,18,1
5023321,,,,,,,,25,25,1
5023323,4,2,1,,,,43,,50,0
5023324,,,,,,,4,33,37,0
5023325,,,,,,,,22,22,1
5023326,,,,,,,,6,6,1
5023327,4,,,,,,12,,16,0
5023328,3,,,,,,,1,4,0
5023329,4,,,,,,12,,16,0
5023330,5,,,,,,4,7,16,0
5023331,4,,,,,,12,,16,0
5023332,11,,,,,,,,11,0
5023333,4,,,,,,1,,5,0
5023334,4,,,,,,,,4,0
5023336,6,,,,,,1,,7,0
5023339,6,,,,,,48,,54,0
5023341,6,,,,,,48,,54,0
5023342,22,2,,,,,32,3,59,0
5023345,14,3,,,,,,1,18,0
5023347,14,3,,,,,,1,18,0
5023348,22,2,,,,,26,3,53,0
5023350,22,2,,,,,26,3,53,0
5023351,21,1,,,,,,,22,0
5023352,2,,,,,,15,,17,0
5023353,2,4,,,,,11,,17,0
5023354,7,,,,,,52,,59,0
5023355,3,,,,,,6,,9,0
5023356,3,,,,,,9,,12,0
5023357,3,,,,,,6,,9,0
5023358,3,,,,,,6,,9,0
5023359,3,,,,,,4,,7,0
5023361,3,,,,,,9,,12,0
5023362,3,,,,,,9,,12,0
5023363,3,,,,,,9,,12,0
5023364,3,,,,,,9,,12,0
5023365,3,,,,,,4,,7,0
5023366,2,,,,,,,,2,0
5023367,1,,,,,,,8,9,0
5023368,31,,,,,,,1,32,0
5023369,,,,,,,,52,52,1
5023370,,,,,,,,7,7,1
5023373,5,,,,,,50,1,56,0
5023374,5,,,,,,31,1,37,0
5023377,12,,,,,,25,1,38,0
5023378,12,,,,,,6,1,19,0
5023379,12,,,,,,25,1,38,0
5023380,12,,,,,,24,1,37,0
5023385,12,,,,,,25,1,38,0
5023386,12,,,,,,25,1,38,0
5023387,6,,,,,,,,6,0
5023389,7,,,,,,,1,8,0
5023390,7,,,,,,38,,45,0
5023392,6,1,,,,,12,,19,0
5023394,24,,,,,,,4,28,0
5023397,11,,,,,,,,11,0
5023398,6,1,,,,,12,,19,0
5023399,19,,,,,,,,19,0
5023400,8,,,,,,,3,11,0
5023401,6,1,,,,,4,,11,0
5023402,11,,,,,,,1,12,0
5023406,5,,,,,,24,1,30,0
5023407,6,,,,,,6,,12,0
5023408,5,,,,,,10,1,16,0
5023409,5,,,,,,,4,9,0
5023410,5,,,,,,28,1,34,0
5023411,11,,,,,,4,1,16,0
5023412,5,,,,,,10,1,16,0
5023414,13,,,,,,,30,43,0
5023415,6,,,,,,38,,44,0
5023417,26,,,,,,32,,58,0
5023419,16,,,,,,,9,25,0
5023420,24,,,,,,12,4,40,0
5023421,8,,,,,,24,,32,0
5023422,12,,,,,,,8,20,0
5023423,6,,,,,,,8,14,0
5023425,12,,,,,,,6,18,0
5023426,29,,,,,,,4,33,0
5023427,2,,,,,,,,2,0
5023428,29,,,,,,,3,32,0
5023429,1,,,,,,,1,2,0
5023430,12,1,,,,,44,,57,0
5023431,,,,,,,46,11,57,0
5023432,,,,,,,46,11,57,0
5023433,8,,,,,,6,,14,0
5023435,5,,,,,,,1,6,0
5023438,5,,,,,,,1,6,0
5023439,10,,,,,,5,,15,0
5023440,5,,,,,,,1,6,0
5023441,5,,,,,,,1,6,0
5023442,8,,,,,,,1,9,0
5023443,5,,,,,,9,1,15,0
5023444,5,,,,,,,1,6,0
5023445,6,,,,,,3,,9,0
5023447,,,,,,,2,,2,0
5023448,,,,,,,2,,2,0
5023449,,,,,,,2,,2,0
5023450,,,,,,,2,,2,0
5023451,,,,,,,1,,1,0
5023452,,,,,,,2,,2,0
5023453,,,,,,,2,,2,0
5023454,,,,,,,2,,2,0
5023456,,,,,,,2,,2,0
5023457,1,,,,,,,1,2,0
5023460,5,,,,,,,,5,0
5023461,3,,,,,,2,,5,0
5023462,1,,,,,,5,14,20,0
5023465,,,,,,,,53,53,1
5023467,15,,,,,,8,,23,0
5023468,18,,,,,,2,,20,0
5023469,7,,,,,,44,1,52,0
5023470,7,,,,,,28,1,36,0
5023471,,,,,,,,42,42,1
5023472,,,,,,,,15,15,1
5023473,2,,,,,,,,2,0
5023474,11,,,,,,47,,58,0
5023475,3,,,,,,26,,29,0
5023476,11,,,,,,34,,45,0
5023478,9,,,,,,16,,25,0
5023479,2,,,,,,,1,3,0
5023480,10,,,,,,2,,12,0
5023481,10,,,,,,2,,12,0
5023482,10,,,,,,2,,12,0
5023483,10,,,,,,2,,12,0
5023484,10,,,,,,,,10,0
5023486,34,,,,,,,1,35,0
5023490,11,,,,,,21,1,33,0
5023491,13,,,,,,,16,29,0
5023492,11,,,,,,21,1,33,0
5023493,1,,,,,,,1,2,0
5023494,8,,,,,,5,,13,0
5023495,2,,,,,,14,1,17,0
5023496,5,,,,,,,,5,0
5023497,1,,,,,,5,12,18,0
5023499,1,,,,,,,7,8,0
5023500,8,,,,,,,,8,0
5023502,11,,,,,,13,,24,0
5023503,11,,,,,,13,,24,0
5023504,11,,,,,,17,,28,0
5023505,14,,,,,,,14,28,0
5023506,11,,,,,,18,,29,0
5023507,5,,,,,,23,1,29,0
5023508,12,,,,,,36,1,49,0
5023509,,,,,,,,49,49,1
5023511,,,,,,,,38,38,1
5023513,2,,,,,,,42,44,0
5023514,,,,,,,,43,43,1
5023516,,,,,,,,48,48,1
5023517,21,,,,,,29,1,51,0
5023518,9,,,,,,,48,57,0
5023519,,,,,,,,44,44,1
5023520,,,,,,,,35,35,1
5023521,,,,,,,,50,50,1
5023522,,,,,,,,30,30,1
5023523,6,,,,,,22,1,29,0
5023524,6,,,,,,29,1,36,0
5023526,4,,,,,,,,4,0
5023527,7,,,,,,,4,11,0
5023528,9,1,,,,,,,10,0
5023531,2,,,,,,,29,31,0
5023532,5,,,,,,,,5,0
5023533,,,,,,,,38,38,1
5023534,5,1,1,1,,,13,,21,0
5023535,7,,,,,,16,,23,0
5023536,5,1,1,1,,,13,,21,0
5023537,,,,,,,,38,38,1
5023538,5,1,1,1,,,8,,16,0
5023539,6,,,,,,14,,20,0
5023540,13,,,,,,14,1,28,0
5023541,4,,,,,,,1,5,0
5023542,3,,,,,,3,1,7,0
5023543,13,,,,,,13,1,27,0
5023544,,,,,,,,27,27,1
5023545,9,,,,,,,1,10,0
5023546,6,,,,,,35,,41,0
5023547,6,,,,,,35,,41,0
5023548,4,,,,,,4,2,10,0
5023549,2,,,,,,14,2,18,0
5023550,5,,,,,,4,,9,0
5023551,4,,,,,,11,1,16,0
5023552,4,,,,,,12,1,17,0
5023553,4,,,,,,12,1,17,0
5023554,4,,,,,,,,4,0
5023555,3,,,,,,,,3,0
5023556,3,,,,,,,1,4,0
5023558,6,,,,,,,,6,0
5023559,12,,,,,,,11,23,0
5023560,6,,,,,,,,6,0
5023562,6,,,,,,,1,7,0
5023563,6,,,,,,,,6,0
5023564,4,,,,,,,2,6,0
5023566,4,,,,,,27,1,32,0
5023567,12,1,,,,,,7,20,0
5023569,4,,,,,,,7,11,0
5023570,4,,,,,,,5,9,0
5023573,27,,,,,,21,,48,0
5023576,23,,,,,,,1,24,0
5023577,3,4,,,,,4,3,14,0
5023579,5,,,,,,7,,12,0
5023580,6,,,,,,,,6,0
5023581,,,,,,,,9,9,1
5023582,,,,,,,,2,2,1
5023584,8,,,,,,42,,50,0
5023585,19,6,,,,,,1,26,0
5023587,12,,,,,,,14,26,0
5023588,19,6,,,,,,1,26,0
5023589,6,,,,,,15,10,31,0
5023590,6,,,,,,10,10,26,0
5023591,10,,,,,,,16,26,0
5023592,16,1,,,,,,,17,0
5023593,4,,,,,,,10,14,0
5023594,3,,,,,,,2,5,0
5023595,2,,,,,,,,2,0
5023596,2,,,,,,,,2,0
5023598,3,,,,,,,,3,0
5023599,3,,,,,,,,3,0
5023600,26,,,,,,,1,27,0
5023602,3,,,,,,,,3,0
5023603,5,,,,,,27,,32,0
5023604,,,,,,,,1,1,1
5023605,,,,,,,,29,29,1
5023608,,,,,,,,44,44,1
5023609,22,,,,,,,13,35,0
5023610,7,4,,,,,38,,49,0
5023611,19,,,,,,,1,20,0
5023612,4,,,,,,34,1,39,0
5023613,19,,,,,,,1,20,0
5023614,5,,,,,,14,,19,0
5023615,16,,,,,,,,16,0
5023616,9,,,,,,1,,10,0
5023617,13,,,,,,,1,14,0
5023618,9,,,,,,,,9,0
5023619,12,,,,,,37,,49,0
5023621,9,,,,,,,,9,0
5023622,8,,,,,,,,8,0
5023623,8,4,,,,,3,,15,0
5023624,8,4,,,,,2,,14,0
5023626,8,4,,,,,48,,60,0
5023627,,,,,,,,24,24,1
5023628,38,,,,,,,,38,0
5023629,9,,,,,,,,9,0
5023630,32,2,,,,,3,4,41,0
5023631,38,,,,,,,,38,0
5023632,4,,,,,,33,1,38,0
5023635,9,,,,,,,6,15,0
5023636,4,,,,,,10,,14,0
5023638,4,,,,,,56,,60,0
5023639,30,,,,,,,1,31,0
5023640,15,2,1,,,,43,,61,0
5023641,15,2,1,,,,13,,31,0
5023642,7,2,1,,,,,,10,0
5023644,15,2,1,,,,43,,61,0
5023645,15,2,1,,,,34,,52,0
5023646,20,,,,,,11,,31,0
5023647,,,,,,,17,4,21,0
5023650,6,,,,,,19,,25,0
5023651,5,,,,,,20,,25,0
5023652,5,,,,,,,,5,0
5023655,13,,,,,,,1,14,0
5023656,6,,,,,,8,,14,0
5023657,6,,,,,,4,,10,0
5023660,6,,,,,,10,,16,0
5023661,1,,,,,,,45,46,0
5023662,10,,,,,,21,,31,0
5023663,18,,,,,,3,,21,0
5023664,3,,,,,,8,,11,0
5023665,3,,,,,,8,,11,0
5023666,25,,,,,,,1,26,0
5023668,29,,,,,,3,1,33,0
5023671,5,,,,,,12,2,19,0
5023672,14,,,,,,,1,15,0
5023673,11,,,,,,,1,12,0
